Time (ms),accel_X (G),accel_Y (G),accel_Z (G)
1441938295644,0.86,-0.46,-0.54
1441938295661,0.64,-0.56,0.16
1441938295681,0.62,-1.22,0.58
1441938295703,0.39,-1.48,0.58
1441938295717,-0.10,-1.08,0.34
1441938295742,-0.41,-1.03,0.18
1441938295768,-0.56,-1.18,0.15
1441938295786,-0.64,-1.28,0.29
1441938295814,-0.48,-1.30,0.51
1441938295832,-0.31,-1.10,0.24
1441938295857,-0.14,-0.80,0.09
1441938295890,0.21,-0.76,0.12
1441938295922,0.35,-0.44,0.03
1441938295925,0.58,-0.44,-0.06
1441938295948,0.96,-0.69,-0.09
1441938295967,0.82,-0.76,0.01
1441938295987,0.59,-0.91,0.38
1441938296014,0.42,-1.20,0.54
1441938296035,0.12,-1.19,0.34
1441938296054,-0.08,-1.10,0.30
1441938296079,-0.22,-1.13,0.13
1441938296098,-0.23,-1.21,0.13
1441938296123,-0.25,-1.28,0.27
1441938296150,-0.34,-1.33,0.13
1441938296169,-0.44,-1.12,-0.08
1441938296193,-0.54,-0.92,-0.11
1441938296229,-0.29,-1.02,0.17
1441938296250,-0.15,-0.96,-0.12
1441938296266,0.07,-0.91,0.08
1441938296283,0.12,-0.70,0.20
1441938296307,0.15,-0.76,0.15
1441938296332,0.33,-0.75,0.31
1441938296350,0.51,-0.57,0.33
1441938296376,0.73,-0.64,0.19
1441938296407,0.86,-0.91,-0.03
1441938296437,0.86,-0.84,0.16
1441938296443,0.64,-0.80,0.15
1441938296463,0.57,-0.98,0.18
1441938296482,0.45,-1.04,0.18
1441938296506,0.20,-0.97,0.01
1441938296527,-0.04,-1.01,-0.02
1441938296551,-0.25,-1.05,0.26
1441938296577,-0.48,-1.31,0.38
1441938296601,-0.56,-1.54,0.39
1441938296619,-0.72,-1.40,0.34
1441938296644,-0.61,-1.39,0.33
1441938296668,-0.51,-1.17,0.17
1441938296690,-0.45,-0.70,0.20
1441938296728,-0.25,-0.70,0.37
1441938296757,-0.06,-0.89,0.25
1441938296759,0.10,-0.63,0.34
1441938296782,0.32,-0.69,0.22
1441938296800,0.51,-0.90,-0.12
1441938296819,0.64,-0.84,0.02
1441938296845,0.76,-0.98,-0.02
1441938296871,0.83,-1.14,-0.12
1441938296889,0.61,-1.02,0.03
1441938296915,0.40,-0.86,0.22
1441938296938,0.29,-0.98,0.29
1441938296966,0.15,-0.91,0.35
1441938296980,0.02,-0.81,0.41
1441938297000,0.03,-1.11,0.32
1441938297025,-0.04,-1.12,0.24
1441938297050,-0.03,-1.13,0.28
1441938297103,-0.01,-1.29,0.23
1441938297106,0.02,-1.55,-0.14
1441938297119,0.08,-1.32,0.46
1441938297134,0.07,-1.52,0.29
1441938297155,0.01,-1.40,0.05
1441938297176,0.06,-1.41,0.15
1441938297201,-0.09,-1.18,0.01
1441938297221,0.02,-1.29,-0.04
1441938297250,-0.15,-0.92,-0.17
1441938297269,-0.25,-0.63,-0.01
1441938297293,-0.19,-0.89,0.18
1441938297328,-0.28,-0.90,-0.22
1441938297361,-0.40,-0.71,-0.27
1441938297382,-0.48,-0.65,-0.32
1441938297399,-0.14,-1.00,0.69
1441938297417,-0.33,-0.82,-0.02
1441938297434,-0.57,-0.52,-0.41
1441938297461,-0.47,-0.86,-0.39
1441938297483,-0.48,-0.67,-0.31
1441938297506,-0.52,-0.41,0.05
1441938297533,-0.54,-0.36,0.04
1441938297552,-0.53,-0.45,-0.08
1441938297577,-0.58,-0.11,0.16
1441938297601,-0.62,0.03,0.16
